Region,WeGlide,OpenAIP,OpenAIP ID,Launches,Wrong
AU-NSW,Hillston,HILLSTON,140811,0,
AU-NSW,Tibooburra,TIBOOBURRA,141630,0,
AU-NSW,Castletop,CASTERTON,140439,0,
AU-NSW,Coolah,COOLAH,140499,0,
AU-NSW,Coonabarabran,COONABARABRAN,140505,0,
AU-NSW,Cowra,COWRA,140533,0,
AU-NSW,Dubbo,DUBBO,140612,0,
AU-NSW,Griffith,GRIFFITH,140769,0,
AU-NSW,Gunnedah,GUNNEDAH,140776,0,
AU-NSW,Inverell,INVERELL,140854,0,
AU-NSW,Lake Cargelligo,LAKE CARGELLIGO,140973,0,
AU-NSW,Mudgee,MUDGEE,141238,0,
AU-NSW,Mungo Lodge,MUNGO LODGE,141254,0,
AU-NSW,Narrandera,NARRANDERA,141282,0,
AU-NSW,Scone,SCONE,141511,0,
AU-NSW,Wanaaring,WANAARING,141715,0,
AU-NSW,Warren,WARREN,141730,0,
AU-NSW,Wee Waa,WEE WAA,141745,0,
AU-NSW,Wilcannia,WILCANNIA,141775,0,
AU-NT,Bond Springs,BOND SPRINGS,140329,10,
AU-NT,Kings Creek,KINGS CREEK,140936,0,
AU-QLD,Kingaroy,KINGAROY,140932,502,
AU-QLD,Warwick,WARWICK,141733,417,
AU-QLD,McCaffery Field,MCCAFFREY FIELD DARLING DOWNS,1743112,337,
AU-QLD,Goondiwindi,GOONDIWINDI,140752,0,
AU-QLD,Gympie,GYMPIE,140778,7,
AU-QLD,Mareeba,MAREEBA,141090,36,
AU-QLD,Boonah,BOONAH,140336,58,
AU-QLD,Burketown,BURKETOWN,140382,17,
AU-QLD,Charters Towers,CHARTERS TOWERS,140450,4,
AU-QLD,Chinchilla,CHINCHILLA,140457,0,
AU-QLD,Pirrinuan,PIRRINUAN,2496134,0,
AU-QLD,Dululu,DULULU,2496136,5,
AU-QLD,Cloncurry,CLONCURRY,140468,2,
AU-QLD,Caboolture,CABOOLTURE,140391,0,
AU-QLD,Georgetown,GEORGETOWN,140719,2,
AU-QLD,Hervey Bay,HERVEY BAY,140804,0,
AU-QLD,Longreach,LONGREACH,141039,2,
AU-QLD,Adels Grove,ADELS GROVE,140155,0,
AU-QLD,Clifton,CLIFTON,140465,0,
AU-QLD,Mitchell,MITCHELL,141151,0,
AU-QLD,Winton,WINTON,141794,0,
AU-QLD,Augathella,AUGATHELLA,140214,0,
AU-QLD,Blackall,BLACKALL,140311,0,
AU-QLD,Elliott,ELLIOTT,140645,0,
AU-QLD,Roma,ROMA,141484,0,
AU-QLD,Toowoomba,TOOWOOMBA,141652,0,
AU-QLD,Atherton,ATHERTON,140211,0,
AU-QLD,Caloundra,CALOUNDRA,140401,0,
AU-QLD,Chillagoe,CHILLAGOE,140456,0,
AU-QLD,Karumba,KARUMBA,140906,0,
AU-QLD,Mungindi,MUNGINDI,141253,0,
AU-QLD,St George,SAINT GEORGE,141502,0,
AU-QLD,Thargomindah,THARGOMINDAH,141614,0,
AU-QLD,Wilton,WILTON,141786,0,
AU-QLD,Wondai,WONDAI,141805,0,
AU-SA,Waikerie,WAIKERIE,141704,171,
